"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AD01"	"AD02"	"AD03"	"AD04"	"AD05"	"AD08_01"	"AD10"	"AD12"	"AM01_01"	"AM01_02"	"AM01_03"	"AM01_04"	"AM01_05"	"AM01_18"	"AM01_06"	"AM01_07"	"AM01_08"	"AM01_09"	"AM01_17"	"AM01_14"	"AM01_10"	"AM01_11"	"AM01_12"	"AM01_13"	"AM01_15"	"AM01_16"	"AM02_01"	"AM02_02"	"AM02_03"	"AM02_04"	"AM02_05"	"AM02_06"	"AM02_07"	"AM02_08"	"AM02_09"	"AM02_10"	"AM02_11"	"AM02_12"	"AM02_13"	"AM02_14"	"AM02_15"	"AM02_16"	"AM04_01"	"AM04_02"	"AM04_03"	"AM04_04"	"AM04_05"	"AM04_06"	"AM04_07"	"AM04_08"	"AM04_09"	"AM04_10"	"AM04_11"	"AM04_12"	"AM04_13"	"AM04_14"	"AM04_15"	"AM04_16"	"AM04_17"	"AM04_18"	"AM05_01"	"AM05_02"	"AM05_03"	"AM05_04"	"AM05_05"	"AM05_06"	"AM05_07"	"AM05_08"	"AM05_09"	"AM05_10"	"AM05_11"	"AM05_12"	"AM05_13"	"AM05_14"	"AM05_15"	"AM05_16"	"AM05_17"	"AM05_18"	"M113_01"	"M106_01"	"M105_01"	"M107_01"	"M114_01"	"M115_01"	"M117_01"	"M213_01"	"M206_01"	"M205_01"	"M207_01"	"M214_01"	"M215_01"	"M217_01"	"M313_01"	"M306_01"	"M305_01"	"M307_01"	"M314_01"	"M315_01"	"M317_01"	"M413_01"	"M406_01"	"M405_01"	"M407_01"	"M414_01"	"M415_01"	"M417_01"	"M513_01"	"M506_01"	"M505_01"	"M507_01"	"M514_01"	"M515_01"	"M517_01"	"M613_01"	"M606_01"	"M605_01"	"M607_01"	"M615_01"	"M617_01"	"M618"	"M713_01"	"M706_01"	"M705_01"	"M707_01"	"M714_01"	"M715_01"	"M717_01"	"M813_01"	"M806_01"	"M805_01"	"M807_01"	"M814_01"	"M815_01"	"M817_01"	"M913_01"	"M906_01"	"M905_01"	"M907_01"	"M914_01"	"M915_01"	"M917_01"	"N113_01"	"N106_01"	"N105_01"	"N107_01"	"N114_01"	"N115_01"	"N117_01"	"N213_01"	"N206_01"	"N205_01"	"N207_01"	"N214_01"	"N217_01"	"N218"	"N313_01"	"N306_01"	"N305_01"	"N307_01"	"N314_01"	"N315_01"	"N318_01"	"N317_01"	"N413_01"	"N406_01"	"N405_01"	"N407_01"	"N414_01"	"N415_01"	"N417_01"	"N513_01"	"N506_01"	"N505_01"	"N507_01"	"N514_01"	"N515_01"	"N517_01"	"N613_01"	"N606_01"	"N605_01"	"N607_01"	"N614_01"	"N615_01"	"N617_01"	"N901_01"	"N902_01"	"N903_01"	"N904_01"	"N905_01"	"N906_01"	"N713_01"	"N706_01"	"N705_01"	"N707_01"	"N714_01"	"N715_01"	"N717_01"	"N813_01"	"N806_01"	"N805_01"	"N807_01"	"N814_01"	"N815_01"	"N817_01"	"K101_01"	"K102_01"	"K103_01"	"K105"	"K201_01"	"K202_01"	"K203_01"	"K205"	"K301_01"	"K302_01"	"K303_01"	"K305"	"K401_01"	"K402_01"	"K403_01"	"K405"	"K501_01"	"K502_01"	"K503_01"	"K505"	"K601_01"	"K603_01"	"K605"	"K701_01"	"K702_01"	"K703_01"	"K705"	"K801_01"	"K802_01"	"K803_01"	"K805"	"K901_01"	"K902_01"	"K903_01"	"K905"	"L101_01"	"L102_01"	"L103_01"	"L105"	"L201_01"	"L205"	"L301_01"	"L307_01"	"L302_01"	"L303_01"	"L305"	"L401_01"	"L402_01"	"L403_01"	"L405"	"L501_01"	"L502_01"	"L503_01"	"L505"	"L601_01"	"L602_01"	"L603_01"	"L605"	"L701_01"	"L703_01"	"L705"	"L801_01"	"L802_01"	"L803_01"	"L805"	"L901_01"	"L902_01"	"L903_01"	"L905"	"PD01_01"	"PD02"	"PD03"	"PD04"	"PD05_01"	"PD05_02"	"PD07"	"PD08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
128			"empinf"	"interview"	2014-06-14 10:35:09	2	2	1	4	1	2	1	1	T	T	T	F	F	F	T	T	F	F	T	F	F	F	T	F	T	F	3	1	1			3	3					1			1		1	2	2			1	1					2			2		2		"10"	"10"	"10"				"10"	"10"							"10"		"10"		14	4	4	2	9	9		14	3	6	4	9	9		14	5	5	2	9	10																							16	6	4	1	8	8		16	6	2	2	9	10																4	4	2	1	9		2																							12	3	3	2	9	10								30	3	7	5	10	10									7	15	5	1	7	20	5	1	7	15	5	2												8	20	6	1	8	20	6	1									25	2														7	15	3	2				15	10	15	2					21	1	1	1	T	F	3	2	65	157	1313	5205	62	88	133			57	90					199			255		550		66	74	48			51	73					29			159		83		1385		2014-06-14 13:01:08	T	39	39	17	11	35	0	35
130			"empinf"	"interview"	2014-06-14 10:45:07	2	1	1	6	1	6	1	1	T	T	T	T	F	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	"0"	"0"	"0"	"0"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	12	4	5	2	10	10		17	3	4	4	10	10		12	4	5	3	10	10		10	4	4	2	9	10									20	4	6	3	4		2	12	4	6	4	10	10		12	4	6	5	10	10		12	4	6	4	10	10		11	4	4	2	10	10		6	4	5	2	10		4	9	3	3	3	3	10	7		7	3	4	3	10	10		8	3	5	3	10	10		8	3	5	3	10	10		8	3	5	2	10		7	3	4	3	10	10		9	3	6	4	9	10		8	10	6	2	17	18	6	2	10	10	6	2	8	8	7	2					15	25	2	6	8	6	2	6	8	6	2	6	8	6	2	7	9	5	2	50	2	4	30	8	3	2	4	8	3	2	6	10	3	2	6	10	3	2	4	2	2	6	8	3	2	5	8	5	2	22	1	1	1	T	F	1	2	61	61	129	92	61	39	58	37		35	27	30	37	669	49	49	99	49	93	54	59	139	32	118	70	31		20	18	51	35	20	18	16	36	34	326	52	22	25	1843		2014-06-14 11:32:39	T	40	40	1	1	2	8	10
131			"empinf"	"interview"	2014-06-14 10:51:09	2	2	1	4	1	5	1	1																																																																																																																																																																																																																																																																																		8	80																																							88		2014-06-14 10:52:37	F	2	2	0	0	0	69	69
134			"empinf"	"interview"	2014-06-14 11:23:51	2	1	1	9	1	4	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"10"	"10"	"10"	"12"	"12"	"12"	"10"	"10"	"10"	"10"	"12"	"12"	"10"	"10"	"12"	"12"	"10"	"10"	10	4	5	2	8	8		12	5	5	2	7	8		12	4	7	2	8	7																																																																																																																																																																																								1190	898	229	89	50	47																																			517		2014-06-14 12:05:34	F	6	6	0	0	0	4	4
136			"empinf"	"interview"	2014-06-14 11:39:02	2	2	1	6	1	5	1	1	T	T	T	T	F	F	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	2	3	2	2	1	2	1	2	1	1	1	1	1	2	2	2	2	1	2	3	2	2	2	3	3	2	2	2	2	2																				12	4	4	1	8	6		14	4	6	5	9	6		15	4	4	4	8	6		12	5	5	2	7	6																14	5	5	3	9	7		15	5	4	2	9	9	7	14	5	5	3	9	6		16	3	6	5	9	5		5	2	3	2	9		4	8	3	5	5	7	6	6		10	3	3	2	6	9		10	4	5	3	8	6	7	12	4	5	2	8	6	7	8	3	6	2	5		7	2	3	2	8	6		7	2	3	2	7	9		8	15	5	2	10	15	5	2	10	15	5	2	10	16	3	2								10	17	5	2	10	18	5	2	10	18	5	2	10	18	5	2	15	2	8	6	14	3	2	7	16	3	2	10	16	3	2	10	17	3	2	4	5	2	8	10	3	2	7	9	3	2	23	2	1	1	T	F	2	1	7	154	242	395	83	75	67	86		71	65	69	166	88	67	71	57	86	54		50	145	104	16	24	17		16	13	13	29	26	22	31	31	17	25		29	38	2133		2014-06-14 12:21:37	T	40	40	7	4	13	11	25
137			"empinf"	"interview"	2014-06-14 11:44:42	2	2	1	4	1	6	1	2	T	T	T	F	F	F	T	T	T	T	T	F	T	T	T	F	T	F	1	1	1			1	1	1	1	1	1	1			1	1	2	2	2			2	2	2	2	2	2	2			2		2		"0"	"0"	"0"				"0"	"0"	"0"	"0"			"0"	"0"	"0"		"0"		10	4	6	1	10	10		11	2	6	1	10	10		9	3	6	2	10	10																							11	6	4	1	10	10		9	4	3	3	10	10		10	4	3	2	10	10		8	4	5	1	10	10		2	2	6	3	10		2									6	3	5	1	10	10		6	2	6	2	10	10		6	1	6	2	10	10								4	1	7	2	10	10									6	15	4	2	7	10	4	2	5	7	4	2												6	16	5	2	6	12	4	2	5	12	5	2	4	10	4	2	25	2						4	6	2	2	4	10	2	2	4	10	2	2				1	14	3	2					22	1	1	1	T	F	4	2	82	144	527	95	48	63	39			43	40	35	40	35	20	67			39		87		50	46	50			28	29	31	20	13	13	24			44		35		1787		2014-06-14 12:14:30	T	39	39	8	4	12	8	20
138			"empinf"	"interview"	2014-06-14 11:45:21	1	1	1	8	1	3	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	"1"	"2"	"3"	"3"	"3"	"1"	"3"	"3"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"3"	"1"	"3"																																																																																																																																																																																																												17	38	174																																						229		2014-06-14 11:49:10	F	3	3	0	0	0	38	38
139			"empinf"	"interview"	2014-06-14 11:51:47	2	2	1	8	3	3	1	1	T	T	T	F	F	T	T	T	F	F	T	T	T	T	T	F	T	T	1	1	1			1	1			1	1	1		1	1	1	2	2	2	3		2	2		1	2	2	2		2	2	2	2	2	"10"	"10"	"10"	"10"		"10"	"8"	"8"	"8"	"10"	"3"	"5"	"6"	"6"	"6"		"10"	"5"	10	3	1	4	8	7		10	3	7	6	7	7																																																																																																																																																																																															28	74	209	59	33																																				403		2014-06-14 11:58:31	F	5	5	11	7	22	17	39
140			"empinf"	"interview"	2014-06-14 11:58:24	2	1	1	9	1	6	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	4	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2																																																																																																																																																																																																																														7	37	104																																						148		2014-06-14 12:00:52	F	3	3	23	17	50	99	149
141			"empinf"	"interview"	2014-06-14 12:03:17	2	1	2	3	1	6	1	1	T	F	T	F	T	F	F	F	F	F	T	T	T	F	F	F	T	F	1	3	1	3	2	3	3	3	3	1	3	3	3	1	1	3	2	1	2	1	2	1	1	1	1	2	1	1	1	3	2	1	2	1	"6"	"7"	"7"	"9"	"8"						"5"	"8"	"8"	"8"			"6"	"7"	8	3	5	6	7	8									10	4	6	5	8	8									11	5	6	3	6	6																																					6	4	7	3	10		2	8	3	6	5	3	10	8	7	10	3	2	2	6	6																						8	2	2	1	9	8									5	2	5	2					4	2	4	2					7	4	3	2																				30	2	2	20	2	2	2	4	2	2	2												4	1	4	2					24	1	1	1	T	F	2	2	11	81	285	56	29		39		23					61				33	38		48		25		27		25					34				14	20		34		883		2014-06-14 12:18:00	T	39	39	4	3	8	19	27
